timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_close,ha_open,ha_high,ha_low,EMA_10,EMA_55,EMA_100,EMA_200,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,Buy_TL,Sell_TL,is_whale,is_whale_invert
1745217000000,1650.93,1651.69,1646.35,1648.02,4827.19,2025-04-21 06:30:00+00:00,2025-04-21 03:30:00-03:00,2025-04-21,03:30:00,1649.2475,1649.475,1651.69,1646.35,1649.2475,1649.2475,1649.2475,1649.2475,True,True,UP,UP,,,,False,False,False,False
1745217900000,1648.01,1649.98,1647.36,1647.91,3036.2197,2025-04-21 06:45:00+00:00,2025-04-21 03:45:00-03:00,2025-04-21,03:45:00,1648.3149999999998,1649.36125,1649.98,1647.36,1649.0779545454545,1649.2141964285715,1649.2290346534653,1649.238221393035,False,False,DOWN,DOWN,,,,False,False,False,False
1745218800000,1647.9,1650.38,1642.04,1645.99,5195.2681,2025-04-21 07:00:00+00:00,2025-04-21 04:00:00-03:00,2025-04-21,04:00:00,1646.5774999999999,1648.8381249999998,1650.38,1642.04,1648.6233264462808,1649.1200286989797,1649.176529016763,1649.2117465533033,False,False,DOWN,DOWN,,,,False,False,False,False
1745219700000,1646.0,1646.99,1641.5,1643.7,3856.3753,2025-04-21 07:15:00+00:00,2025-04-21 04:15:00-03:00,2025-04-21,04:15:00,1644.5475,1647.7078124999998,1647.7078124999998,1641.5,1647.8822670924114,1648.9567241025877,1649.0848650758371,1649.1653361398376,False,False,DOWN,DOWN,,,,False,False,False,False
1745220600000,1643.7,1648.0,1642.81,1647.11,4645.9982,2025-04-21 07:30:00+00:00,2025-04-21 04:30:00-03:00,2025-04-21,04:30:00,1645.405,1646.1276562499997,1648.0,1642.81,1647.431854893791,1648.8298768132095,1649.011996460474,1649.1279198598393,False,False,DOWN,DOWN,,,,False,False,False,False
1745221500000,1647.12,1648.96,1644.9,1645.92,2903.6864,2025-04-21 07:45:00+00:00,2025-04-21 04:45:00-03:00,2025-04-21,04:45:00,1646.725,1645.7663281249997,1648.96,1644.9,1647.3033358221924,1648.7547026413092,1648.9667094018507,1649.1040102094928,False,False,DOWN,DOWN,,,,False,False,False,False
1745222400000,1645.92,1649.31,1645.7,1646.68,2699.6122,2025-04-21 08:00:00+00:00,2025-04-21 05:00:00-03:00,2025-04-21,05:00:00,1646.9025000000001,1646.2456640624998,1649.31,1645.7,1647.2304565817935,1648.6885525469768,1648.9258339681508,1649.0821046352692,False,False,DOWN,DOWN,,,,False,False,False,False
1745223300000,1646.68,1649.06,1643.76,1646.71,2217.601,2025-04-21 08:15:00+00:00,2025-04-21 05:15:00-03:00,2025-04-21,05:15:00,1646.5525,1646.5740820312499,1649.06,1643.76,1647.10719174874,1648.6122649560134,1648.8788372559102,1649.0569344398934,False,False,DOWN,DOWN,,,,False,False,False,False
1745224200000,1646.71,1647.67,1645.47,1646.89,2015.205,2025-04-21 08:30:00+00:00,2025-04-21 05:30:00-03:00,2025-04-21,05:30:00,1646.6850000000002,1646.563291015625,1647.67,1645.47,1647.0304296126055,1648.5434340647273,1648.835394934011,1649.0333331021832,False,False,DOWN,DOWN,,,,False,False,False,False
1745225100000,1646.9,1649.45,1645.2,1649.16,3348.6046,2025-04-21 08:45:00+00:00,2025-04-21 05:45:00-03:00,2025-04-21,05:45:00,1647.6775,1646.6241455078125,1649.45,1645.2,1647.14807877395,1648.5125078481299,1648.8124663214562,1649.0198422255446,False,False,DOWN,DOWN,,,,False,False,False,False
1745226000000,1649.15,1655.0,1645.52,1646.4,8866.7434,2025-04-21 09:00:00+00:00,2025-04-21 06:00:00-03:00,2025-04-21,06:00:00,1649.0175,1647.1508227539061,1655.0,1645.52,1647.4879735423226,1648.5305432821253,1648.8165263942988,1649.019818919818,False,False,DOWN,DOWN,,,,False,False,True,False
1745226900000,1646.4,1646.75,1642.6,1643.36,3654.0029,2025-04-21 09:15:00+00:00,2025-04-21 06:15:00-03:00,2025-04-21,06:15:00,1644.7775,1648.084161376953,1648.084161376953,1642.6,1646.995160170991,1648.3965060220496,1648.7365456736195,1648.9776067912626,False,False,DOWN,DOWN,,,,False,False,True,False
1745227800000,1643.35,1644.75,1639.47,1641.96,4815.224,2025-04-21 09:30:00+00:00,2025-04-21 06:30:00-03:00,2025-04-21,06:30:00,1642.3825,1646.4308306884764,1646.4308306884764,1639.47,1646.1564946853562,1648.1817200926907,1648.6107229870133,1648.9119838381157,False,False,DOWN,DOWN,,,,False,False,False,False
1745228700000,1641.97,1644.0,1641.53,1642.58,2372.1684,2025-04-21 09:45:00+00:00,2025-04-21 06:45:00-03:00,2025-04-21,06:45:00,1642.52,1644.4066653442383,1644.4066653442383,1641.53,1645.4953138334731,1647.9795158036661,1648.4901146110328,1648.848382008881,False,False,DOWN,DOWN,,10.460221191580304,32.579379236532056,False,False,False,False
1745229600000,1642.58,1643.42,1637.75,1639.39,3827.1761,2025-04-21 10:00:00+00:00,2025-04-21 07:00:00-03:00,2025-04-21,07:00:00,1640.785,1643.4633326721191,1643.4633326721191,1637.75,1644.6388931364781,1647.722568810678,1648.3375380840816,1648.768149352076,False,False,DOWN,DOWN,,10.411192386904206,37.795611107165435,False,False,False,False
1745230500000,1639.39,1640.6,1631.4,1632.75,12172.2418,2025-04-21 10:15:00+00:00,2025-04-21 07:15:00-03:00,2025-04-21,07:15:00,1636.0349999999999,1642.1241663360597,1642.1241663360597,1631.4,1643.0745489298456,1647.305155638868,1648.0939234685552,1648.641451348573,False,False,DOWN,DOWN,,9.498509783594557,41.40209926137072,False,False,False,False
1745231400000,1632.75,1633.22,1628.29,1631.84,7657.1419,2025-04-21 10:30:00+00:00,2025-04-21 07:30:00-03:00,2025-04-21,07:30:00,1631.525,1639.0795831680298,1639.0795831680298,1628.29,1640.974630942601,1646.7415786517656,1647.7658259741283,1648.471138399831,False,False,DOWN,DOWN,,9.572314724126601,38.8377407770161,False,False,False,True
1745232300000,1631.83,1636.0,1630.86,1635.7,2904.8123,2025-04-21 10:45:00+00:00,2025-04-21 07:45:00-03:00,2025-04-21,07:45:00,1633.5974999999999,1635.302291584015,1636.0,1630.86,1639.6333344075824,1646.2721472713456,1647.4852650637495,1648.3231419978429,False,False,DOWN,DOWN,,13.263365037717168,38.30764184978692,False,False,False,True
1745233200000,1635.7,1636.17,1630.1,1630.24,3770.8989,2025-04-21 11:00:00+00:00,2025-04-21 08:00:00-03:00,2025-04-21,08:00:00,1633.0524999999998,1634.4498957920073,1636.17,1630.1,1638.436819060749,1645.8000170116547,1647.1994677357543,1648.1711953112972,False,False,DOWN,DOWN,,13.111990143310937,37.15712340315166,False,False,False,False
1745234100000,1630.23,1630.24,1617.85,1624.58,9256.2546,2025-04-21 11:15:00+00:00,2025-04-21 08:15:00-03:00,2025-04-21,08:15:00,1625.725,1633.7511978960035,1633.7511978960035,1617.85,1636.1255792315217,1645.0830521183814,1646.774230750888,1647.9478500843193,False,False,DOWN,DOWN,,11.456415195897794,43.978582962690126,False,False,False,False
1745235000000,1624.58,1625.33,1622.0,1625.18,3845.9376,2025-04-21 11:30:00+00:00,2025-04-21 08:30:00-03:00,2025-04-21,08:30:00,1624.2725,1629.7380989480016,1629.7380989480016,1622.0,1633.9704739166996,1644.3398181141533,1646.3286519241376,1647.71227446159,False,False,DOWN,DOWN,,11.441505163389339,47.71254774366966,False,False,False,True
1745235900000,1625.18,1626.68,1623.05,1626.34,4171.813,2025-04-21 11:45:00+00:00,2025-04-21 08:45:00-03:00,2025-04-21,08:45:00,1625.3125,1627.0052994740008,1627.0052994740008,1623.05,1632.396296840936,1643.6602710386478,1645.9124904998973,1647.489391133614,False,False,DOWN,DOWN,,13.219136603512439,46.39386336765,False,False,False,False
1745236800000,1626.34,1631.57,1626.0,1630.9,3986.3927,2025-04-21 12:00:00+00:00,2025-04-21 09:00:00-03:00,2025-04-21,09:00:00,1628.7024999999999,1626.1588997370004,1631.57,1626.0,1631.724697415311,1643.1260649301248,1645.5716986088103,1647.3024568934786,False,False,DOWN,DOWN,,18.016528925619735,42.43526170798897,False,False,False,False
1745237700000,1630.89,1631.69,1627.39,1628.12,2971.3755,2025-04-21 12:15:00+00:00,2025-04-21 09:15:00-03:00,2025-04-21,09:15:00,1629.5225,1627.4306998685001,1631.69,1627.39,1631.3242978852545,1642.6402233254773,1645.2538926957645,1647.1255418995138,False,False,DOWN,DOWN,,16.04625550660787,43.94273127753316,False,False,False,False
1745238600000,1628.11,1630.22,1626.6,1627.2,3215.506,2025-04-21 12:30:00+00:00,2025-04-21 09:30:00-03:00,2025-04-21,09:30:00,1628.0325,1628.47659993425,1630.22,1626.6,1630.7257891788445,1642.1185189209962,1644.9128750186208,1646.9355613831008,False,False,DOWN,DOWN,,10.619260654579676,47.904403108076586,False,False,False,False
1745239500000,1627.19,1628.35,1623.58,1623.71,2128.9457,2025-04-21 12:45:00+00:00,2025-04-21 09:45:00-03:00,2025-04-21,09:45:00,1625.7075,1628.254549967125,1628.35,1623.58,1629.813372964509,1641.5324111023892,1644.5325705628065,1646.7243368917266,False,False,DOWN,DOWN,,10.829306360116433,48.971996278176526,False,False,False,False
1745240400000,1623.7,1624.55,1618.34,1621.11,4519.9274,2025-04-21 13:00:00+00:00,2025-04-21 10:00:00-03:00,2025-04-21,10:00:00,1621.925,1626.9810249835625,1626.9810249835625,1618.34,1628.3791233345983,1640.832146420161,1644.0848958981965,1646.4775773206648,False,False,DOWN,DOWN,55.92869685648869,10.567938841861647,50.26214815031806,False,True,False,False
1745241300000,1621.11,1627.27,1620.44,1627.27,3483.1932,2025-04-21 13:15:00+00:00,2025-04-21 10:15:00-03:00,2025-04-21,10:15:00,1624.0225,1624.4530124917812,1627.27,1620.44,1627.587010001035,1640.2318019051554,1643.6876207318955,1646.2541437154841,False,False,DOWN,DOWN,56.210958599939296,13.086247735822763,45.52319910826287,False,False,False,True
1745242200000,1627.27,1630.5,1617.0,1623.62,8304.5783,2025-04-21 13:30:00+00:00,2025-04-21 10:30:00-03:00,2025-04-21,10:30:00,1624.5975,1624.2377562458905,1630.5,1617.0,1627.0434627281195,1639.6734339799714,1643.309598539185,1646.0386547232904,False,False,DOWN,DOWN,56.08577790800313,12.035779275700342,41.52036291872819,False,True,False,False
1745243100000,1623.62,1626.04,1611.51,1611.88,8287.9248,2025-04-21 13:45:00+00:00,2025-04-21 10:45:00-03:00,2025-04-21,10:45:00,1618.2625,1624.4176281229452,1626.04,1611.51,1625.4469240502794,1638.908757766401,1642.813616389894,1645.7622750743026,False,False,DOWN,DOWN,55.48742625137519,11.432744978697512,38.60255629945276,False,False,False,False
1745244000000,1611.87,1620.8,1608.6,1620.8,9774.9332,2025-04-21 14:00:00+00:00,2025-04-21 11:00:00-03:00,2025-04-21,11:00:00,1615.5175000000002,1621.3400640614727,1621.3400640614727,1608.6,1623.641574222956,1638.0733557033154,1642.2730992336583,1645.4613320387373,False,False,DOWN,DOWN,55.03524821754261,10.957369857899518,36.81078936929832,False,True,False,True
1745244900000,1620.8,1637.89,1616.46,1637.34,18089.4901,2025-04-21 14:15:00+00:00,2025-04-21 11:15:00-03:00,2025-04-21,11:15:00,1628.1225,1618.4287820307363,1637.89,1616.46,1624.4562880006001,1637.7179679996257,1641.9928893478434,1645.2888063468095,False,False,DOWN,DOWN,53.02690271097134,20.9447236180906,31.710552763819507,False,False,False,False
