timestamp,open,high,low,close,volume,time_utc,time,date,hour,sz,adx,Buy_TL,Sell_TL,signal_tl
1745465400000,1789.89,1789.89,1774.52,1774.71,6042.5869,2025-04-24 03:30:00+00:00,2025-04-24 00:30:00-03:00,2025-04-24,00:30:00,,,False,False,-
1745466300000,1774.72,1779.19,1766.52,1768.18,10150.5627,2025-04-24 03:45:00+00:00,2025-04-24 00:45:00-03:00,2025-04-24,00:45:00,,,False,False,-
1745467200000,1768.16,1773.26,1758.0,1767.8,12664.9084,2025-04-24 04:00:00+00:00,2025-04-24 01:00:00-03:00,2025-04-24,01:00:00,,,False,False,-
1745468100000,1767.8,1771.18,1762.99,1764.0,6579.801,2025-04-24 04:15:00+00:00,2025-04-24 01:15:00-03:00,2025-04-24,01:15:00,,,False,False,-
1745469000000,1764.0,1767.53,1762.81,1767.09,4331.3362,2025-04-24 04:30:00+00:00,2025-04-24 01:30:00-03:00,2025-04-24,01:30:00,,,False,False,-
1745469900000,1767.09,1773.47,1766.09,1772.32,2368.8338,2025-04-24 04:45:00+00:00,2025-04-24 01:45:00-03:00,2025-04-24,01:45:00,,,False,False,-
1745470800000,1772.32,1776.34,1771.9,1775.76,2773.5051,2025-04-24 05:00:00+00:00,2025-04-24 02:00:00-03:00,2025-04-24,02:00:00,,,False,False,-
1745471700000,1775.76,1775.9,1766.43,1768.53,3517.0208,2025-04-24 05:15:00+00:00,2025-04-24 02:15:00-03:00,2025-04-24,02:15:00,,,False,False,-
1745472600000,1768.53,1774.4,1768.29,1771.8,2029.9886,2025-04-24 05:30:00+00:00,2025-04-24 02:30:00-03:00,2025-04-24,02:30:00,,,False,False,-
1745473500000,1771.8,1774.29,1768.98,1769.59,2302.523,2025-04-24 05:45:00+00:00,2025-04-24 02:45:00-03:00,2025-04-24,02:45:00,,,False,False,-
1745474400000,1769.58,1773.32,1767.4,1770.59,3249.4309,2025-04-24 06:00:00+00:00,2025-04-24 03:00:00-03:00,2025-04-24,03:00:00,,,False,False,-
1745475300000,1770.59,1776.0,1762.01,1774.86,4253.3458,2025-04-24 06:15:00+00:00,2025-04-24 03:15:00-03:00,2025-04-24,03:15:00,,,False,False,-
1745476200000,1774.86,1775.92,1769.7,1770.19,2686.069,2025-04-24 06:30:00+00:00,2025-04-24 03:30:00-03:00,2025-04-24,03:30:00,,,False,False,-
1745477100000,1770.19,1773.67,1766.76,1768.19,2126.8305,2025-04-24 06:45:00+00:00,2025-04-24 03:45:00-03:00,2025-04-24,03:45:00,,,False,False,-
1745478000000,1768.19,1774.4,1766.61,1774.4,6556.5459,2025-04-24 07:00:00+00:00,2025-04-24 04:00:00-03:00,2025-04-24,04:00:00,,,False,False,-
1745478900000,1774.39,1774.62,1760.21,1762.87,6457.1933,2025-04-24 07:15:00+00:00,2025-04-24 04:15:00-03:00,2025-04-24,04:15:00,,,False,False,-
1745479800000,1762.88,1765.0,1756.0,1757.6,5906.0264,2025-04-24 07:30:00+00:00,2025-04-24 04:30:00-03:00,2025-04-24,04:30:00,,,False,False,-
1745480700000,1757.61,1757.61,1751.27,1756.25,8435.8897,2025-04-24 07:45:00+00:00,2025-04-24 04:45:00-03:00,2025-04-24,04:45:00,,,False,False,-
1745481600000,1756.25,1760.7,1750.58,1751.42,8802.5231,2025-04-24 08:00:00+00:00,2025-04-24 05:00:00-03:00,2025-04-24,05:00:00,,,False,False,-
1745482500000,1751.41,1756.0,1735.19,1737.0,16404.3601,2025-04-24 08:15:00+00:00,2025-04-24 05:15:00-03:00,2025-04-24,05:15:00,,,False,False,-
1745483400000,1737.0,1739.5,1722.9,1731.23,23257.8011,2025-04-24 08:30:00+00:00,2025-04-24 05:30:00-03:00,2025-04-24,05:30:00,,,False,False,-
1745484300000,1731.22,1736.97,1726.22,1734.91,15728.3363,2025-04-24 08:45:00+00:00,2025-04-24 05:45:00-03:00,2025-04-24,05:45:00,,,False,False,-
1745485200000,1734.91,1742.49,1734.5,1741.96,5232.4113,2025-04-24 09:00:00+00:00,2025-04-24 06:00:00-03:00,2025-04-24,06:00:00,,,False,False,-
1745486100000,1741.95,1747.0,1740.52,1743.41,5541.2007,2025-04-24 09:15:00+00:00,2025-04-24 06:15:00-03:00,2025-04-24,06:15:00,,,False,False,-
1745487000000,1743.41,1747.2,1738.47,1741.96,4039.2475,2025-04-24 09:30:00+00:00,2025-04-24 06:30:00-03:00,2025-04-24,06:30:00,,,False,False,-
1745487900000,1741.97,1744.88,1738.33,1743.5,4479.3875,2025-04-24 09:45:00+00:00,2025-04-24 06:45:00-03:00,2025-04-24,06:45:00,,55.37685303620153,False,False,-
1745488800000,1743.5,1745.0,1739.93,1743.53,2222.4137,2025-04-24 10:00:00+00:00,2025-04-24 07:00:00-03:00,2025-04-24,07:00:00,,53.389933118661155,False,False,-
1745489700000,1743.52,1748.5,1743.49,1747.31,3961.1806,2025-04-24 10:15:00+00:00,2025-04-24 07:15:00-03:00,2025-04-24,07:15:00,,49.15112369817313,False,False,-
1745490600000,1747.31,1749.96,1744.0,1749.33,3331.6177,2025-04-24 10:30:00+00:00,2025-04-24 07:30:00-03:00,2025-04-24,07:30:00,,44.49257896036481,False,False,-
1745491500000,1749.33,1751.47,1746.26,1750.17,3711.7386,2025-04-24 10:45:00+00:00,2025-04-24 07:45:00-03:00,2025-04-24,07:45:00,,39.42583997973648,False,False,-
1745492400000,1750.17,1750.52,1745.04,1745.8,3414.0604,2025-04-24 11:00:00+00:00,2025-04-24 08:00:00-03:00,2025-04-24,08:00:00,,35.77373469476345,False,False,-
1745493300000,1745.81,1746.67,1743.0,1745.97,2453.4951,2025-04-24 11:15:00+00:00,2025-04-24 08:15:00-03:00,2025-04-24,08:15:00,,33.81232103308165,False,False,-
1745494200000,1745.97,1747.6,1741.47,1746.33,4550.5736,2025-04-24 11:30:00+00:00,2025-04-24 08:30:00-03:00,2025-04-24,08:30:00,,32.97096581255259,False,False,-
1745495100000,1746.32,1757.4,1746.32,1755.1,4834.2959,2025-04-24 11:45:00+00:00,2025-04-24 08:45:00-03:00,2025-04-24,08:45:00,,31.3020069389737,False,False,-
1745496000000,1755.1,1756.0,1747.4,1751.04,4451.3284,2025-04-24 12:00:00+00:00,2025-04-24 09:00:00-03:00,2025-04-24,09:00:00,,29.855575915205332,False,False,-
1745496900000,1751.04,1755.08,1749.75,1752.07,4057.8726,2025-04-24 12:15:00+00:00,2025-04-24 09:15:00-03:00,2025-04-24,09:15:00,,28.602002361272746,False,False,-
1745497800000,1752.06,1757.51,1750.33,1755.2,3894.4451,2025-04-24 12:30:00+00:00,2025-04-24 09:30:00-03:00,2025-04-24,09:30:00,,28.844676184339143,False,False,-
1745498700000,1755.21,1757.95,1752.48,1757.86,2758.8043,2025-04-24 12:45:00+00:00,2025-04-24 09:45:00-03:00,2025-04-24,09:45:00,,29.291684184971423,False,False,-
1745499600000,1757.86,1758.35,1753.05,1753.78,3165.503,2025-04-24 13:00:00+00:00,2025-04-24 10:00:00-03:00,2025-04-24,10:00:00,,29.914727430200802,False,False,-
1745500500000,1753.78,1756.56,1753.31,1755.33,2983.8484,2025-04-24 13:15:00+00:00,2025-04-24 10:15:00-03:00,2025-04-24,10:15:00,1.9235962406014984,30.45469824273293,False,False,-
1745501400000,1755.32,1760.88,1750.21,1753.84,8088.1004,2025-04-24 13:30:00+00:00,2025-04-24 10:30:00-03:00,2025-04-24,10:30:00,1.7997327067669113,33.322935792285186,False,False,-
1745502300000,1753.84,1754.9,1744.4,1753.55,7026.7479,2025-04-24 13:45:00+00:00,2025-04-24 10:45:00-03:00,2025-04-24,10:45:00,1.5841956766917227,29.785199884660223,False,True,SELL
1745503200000,1753.55,1771.62,1752.85,1760.31,17987.9252,2025-04-24 14:00:00+00:00,2025-04-24 11:00:00-03:00,2025-04-24,11:00:00,1.3594381578947288,32.89291500108843,False,False,-
1745504100000,1760.3,1765.04,1754.0,1757.62,8211.9875,2025-04-24 14:15:00+00:00,2025-04-24 11:15:00-03:00,2025-04-24,11:15:00,1.2549469924812,35.586268101992886,False,False,-
1745505000000,1757.62,1767.2,1756.62,1765.21,6636.3866,2025-04-24 14:30:00+00:00,2025-04-24 11:30:00-03:00,2025-04-24,11:30:00,1.1063178571428558,38.41280867930138,False,False,-
1745505900000,1765.2,1776.35,1762.2,1765.37,8137.9407,2025-04-24 14:45:00+00:00,2025-04-24 11:45:00-03:00,2025-04-24,11:45:00,1.0207157894736871,42.46340331280907,False,False,-
1745506800000,1765.37,1777.77,1762.2,1773.9,8776.0599,2025-04-24 15:00:00+00:00,2025-04-24 12:00:00-03:00,2025-04-24,12:00:00,0.9067755639097793,46.171129321505475,False,False,-
1745507700000,1773.9,1777.67,1766.06,1766.43,10032.4605,2025-04-24 15:15:00+00:00,2025-04-24 12:15:00-03:00,2025-04-24,12:15:00,0.8782751879699301,49.38449186237569,False,False,-
1745508600000,1766.43,1773.5,1763.32,1770.6,6083.6381,2025-04-24 15:30:00+00:00,2025-04-24 12:30:00-03:00,2025-04-24,12:30:00,0.7655669172932393,49.70524152266922,False,False,-
1745509500000,1770.61,1772.63,1763.06,1764.62,4562.2312,2025-04-24 15:45:00+00:00,2025-04-24 12:45:00-03:00,2025-04-24,12:45:00,0.7253063909774502,49.74553417888966,False,False,-
