timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_close,ha_open,ha_high,ha_low,MA1,MA2,MA3,MA4,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,whale,sz,stoch_k,stoch_d,Buy_TL,Sell_TL,signal_tl
1745182800000,1589.88,1590.5,1586.21,1586.5,2146.2555,2025-04-20 21:00:00+00:00,2025-04-20 18:00:00-03:00,2025-04-20,18:00:00,1588.2725,1588.19,1590.5,1586.21,1588.2725,1588.2725,1588.2725,1588.2725,True,True,UP,UP,,,,-,0.0,0.0,0.0,False,False,-
1745183700000,1586.5,1587.41,1583.62,1586.16,2431.5765,2025-04-20 21:15:00+00:00,2025-04-20 18:15:00-03:00,2025-04-20,18:15:00,1585.9225,1588.23125,1588.23125,1583.62,1587.8452272727272,1588.1885714285715,1588.2259653465346,1588.249116915423,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745184600000,1586.17,1591.08,1586.17,1589.39,2118.5436,2025-04-20 21:30:00+00:00,2025-04-20 18:30:00-03:00,2025-04-20,18:30:00,1588.2025,1587.076875,1591.08,1586.17,1587.9101859504133,1588.189068877551,1588.2255006862072,1588.2486530655183,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745185500000,1589.37,1590.43,1586.8,1589.0,1643.1457,2025-04-20 21:45:00+00:00,2025-04-20 18:45:00-03:00,2025-04-20,18:45:00,1588.9,1587.6396875,1590.43,1586.8,1588.0901521412472,1588.2144592747816,1588.2388571082624,1588.255134129543,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745186400000,1588.99,1589.2,1580.96,1583.02,3842.0634,2025-04-20 22:00:00+00:00,2025-04-20 19:00:00-03:00,2025-04-20,19:00:00,1585.5425,1588.26984375,1589.2,1580.96,1587.6269426610204,1588.1190321578251,1588.185463898198,1588.2281427451696,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745187300000,1583.03,1583.12,1574.68,1577.4,3723.8884,2025-04-20 22:15:00+00:00,2025-04-20 19:15:00-03:00,2025-04-20,19:15:00,1579.5575,1586.906171875,1586.906171875,1574.68,1586.1597712681075,1587.8132631521885,1588.0146131279364,1588.141867692979,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745188200000,1577.39,1581.0,1576.53,1580.06,1945.0088,2025-04-20 22:30:00+00:00,2025-04-20 19:30:00-03:00,2025-04-20,19:30:00,1578.745,1583.2318359375,1583.2318359375,1576.53,1584.8116310375424,1587.489396611039,1587.8310564323335,1588.0483665219047,False,False,DOWN,DOWN,,,,BOTTOM,0.0,0.0,0.0,False,False,-
1745189100000,1580.06,1582.17,1579.33,1582.16,1334.0334,2025-04-20 22:45:00+00:00,2025-04-20 19:45:00-03:00,2025-04-20,19:45:00,1580.9299999999998,1580.98841796875,1582.17,1579.33,1584.1058799398074,1587.255132446359,1587.694401849515,1587.977537004274,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745190000000,1582.16,1586.7,1582.16,1586.0,2569.4197,2025-04-20 23:00:00+00:00,2025-04-20 20:00:00-03:00,2025-04-20,20:00:00,1584.255,1580.959208984375,1586.7,1580.959208984375,1584.132992678024,1587.1479848589893,1587.626294882198,1587.9404968350773,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745190900000,1585.99,1587.96,1584.0,1584.08,2408.1417,2025-04-20 23:15:00+00:00,2025-04-20 20:15:00-03:00,2025-04-20,20:15:00,1585.5075,1582.6071044921875,1587.96,1582.6071044921875,1584.3829031002015,1587.0893961140255,1587.5843385478968,1587.9162879113453,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745191800000,1584.07,1585.7,1582.87,1584.73,1528.5365,2025-04-20 23:30:00+00:00,2025-04-20 20:30:00-03:00,2025-04-20,20:30:00,1584.3424999999997,1584.0573022460937,1585.7,1582.87,1584.375557081983,1586.9912926813818,1587.520143725166,1587.8807278326253,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745192700000,1584.73,1587.77,1584.4,1587.36,1383.9432,2025-04-20 23:45:00+00:00,2025-04-20 20:45:00-03:00,2025-04-20,20:45:00,1586.0649999999998,1584.1999011230469,1587.77,1584.1999011230469,1584.6827285216223,1586.9582107999038,1587.491328997935,1587.8626608890172,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745193600000,1587.36,1594.37,1586.18,1593.12,4122.9371,2025-04-21 00:00:00+00:00,2025-04-20 21:00:00-03:00,2025-04-20,21:00:00,1590.2575,1585.1324505615235,1594.37,1585.1324505615235,1585.6963233358726,1587.07604255705,1587.546104661342,1587.8864901339027,False,False,DOWN,DOWN,,,,-,0.0,0.0,0.0,False,False,-
1745194500000,1593.16,1614.3,1593.16,1609.59,15111.9774,2025-04-21 00:15:00+00:00,2025-04-20 21:15:00-03:00,2025-04-20,21:15:00,1602.5525,1587.6949752807618,1614.3,1587.6949752807618,1588.7610827293502,1587.6287731800126,1587.8432610046816,1588.0324205803315,False,True,DOWN,UP,,39.543317662860204,24.671591672262757,TOP,0.0,0.0,0.0,False,False,-
1745195400000,1609.6,1620.37,1606.8,1614.33,16211.4493,2025-04-21 00:30:00+00:00,2025-04-20 21:30:00-03:00,2025-04-20,21:30:00,1612.7749999999999,1595.123737640381,1620.37,1595.123737640381,1593.127249505832,1588.5268527092978,1588.336958806569,1588.2786154004277,True,True,UP,UP,,34.52481471057263,34.337179848015126,TOP,0.0,0.0,0.0,False,False,-
1745196300000,1614.33,1620.49,1608.8,1610.09,8722.7091,2025-04-21 00:45:00+00:00,2025-04-20 21:45:00-03:00,2025-04-20,21:45:00,1613.4275,1603.9493688201906,1620.49,1603.9493688201906,1596.818204141135,1589.4161615411087,1588.833801206439,1588.528853058135,True,True,UP,UP,,32.38652614903911,31.691271919209026,-,0.0,0.0,0.0,False,False,-
1745197200000,1610.1,1618.69,1608.01,1611.53,7281.5497,2025-04-21 01:00:00+00:00,2025-04-20 22:00:00-03:00,2025-04-20,22:00:00,1612.0825,1608.6884344100954,1618.69,1608.01,1599.5935306609285,1590.2256736289262,1589.2941714795786,1588.7632177043226,True,True,UP,UP,,27.80528745279027,30.885438522869656,-,0.0,0.0,0.0,False,False,-
1745198100000,1611.52,1615.0,1609.3,1614.71,5177.2712,2025-04-21 01:15:00+00:00,2025-04-20 22:15:00-03:00,2025-04-20,22:15:00,1612.6325,1610.3854672050477,1615.0,1609.3,1601.9642523589414,1591.0259174278933,1589.756316598795,1589.0007230007973,True,True,UP,UP,,27.330473519220945,30.902491338062447,-,0.0,0.0,0.0,False,False,-
1745199000000,1614.71,1620.4,1613.5,1617.95,5909.6366,2025-04-21 01:30:00+00:00,2025-04-20 22:30:00-03:00,2025-04-20,22:30:00,1616.64,1611.5089836025238,1620.4,1611.5089836025238,1604.632570111861,1591.9407060911828,1590.2886667651555,1589.2757406823814,True,True,UP,UP,,31.909563344996478,26.18687757510456,-,0.0,0.0,0.0,False,False,-
1745199900000,1617.95,1629.85,1617.71,1628.64,16760.0184,2025-04-21 01:45:00+00:00,2025-04-20 22:45:00-03:00,2025-04-20,22:45:00,1623.5375000000001,1614.074491801262,1629.85,1614.074491801262,1608.0698300915228,1593.069163016498,1590.947059502479,1589.6166537104175,True,True,UP,UP,,38.9780251025626,20.585726471424103,TOP,0.0,0.0,0.0,False,False,-
1745200800000,1628.64,1642.18,1625.01,1632.3,18130.015,2025-04-21 02:00:00+00:00,2025-04-20 23:00:00-03:00,2025-04-20,23:00:00,1632.0325,1618.805995900631,1642.18,1618.805995900631,1612.4266791657915,1594.4607107659087,1591.7606325816378,1590.0387019322045,True,True,UP,UP,,43.93611014988951,17.112572167482934,TOP,0.0,0.0,0.0,False,False,-
