timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_close,ha_open,ha_high,ha_low,MA1,MA2,MA3,MA4,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,Buy_TL,Sell_TL,is_whale,is_whale_invert
1745218800000,1647.9,1650.38,1642.04,1645.99,5195.2681,2025-04-21 07:00:00+00:00,2025-04-21 04:00:00-03:00,2025-04-21,04:00:00,1646.5774999999999,1646.9450000000002,1650.38,1642.04,1646.5774999999999,1646.5774999999999,1646.5774999999999,1646.5774999999999,True,True,UP,UP,,,,False,False,False,False
1745219700000,1646.0,1646.99,1641.5,1643.7,3856.3753,2025-04-21 07:15:00+00:00,2025-04-21 04:15:00-03:00,2025-04-21,04:15:00,1644.5475,1646.76125,1646.99,1641.5,1646.2084090909088,1646.5049999999999,1646.537301980198,1646.5573009950247,False,False,DOWN,DOWN,,,,False,False,False,False
1745220600000,1643.7,1648.0,1642.81,1647.11,4645.9982,2025-04-21 07:30:00+00:00,2025-04-21 04:30:00-03:00,2025-04-21,04:30:00,1645.405,1645.654375,1648.0,1642.81,1646.0623347107435,1646.465714285714,1646.5148801588077,1646.545835313482,False,False,DOWN,DOWN,,,,False,False,False,False
1745221500000,1647.12,1648.96,1644.9,1645.92,2903.6864,2025-04-21 07:45:00+00:00,2025-04-21 04:45:00-03:00,2025-04-21,04:45:00,1646.725,1645.5296875,1648.96,1644.9,1646.18281930879,1646.4749744897958,1646.5190409477423,1646.5476180466812,False,False,DOWN,DOWN,,,,False,False,False,False
1745222400000,1645.92,1649.31,1645.7,1646.68,2699.6122,2025-04-21 08:00:00+00:00,2025-04-21 05:00:00-03:00,2025-04-21,05:00:00,1646.9025000000001,1646.12734375,1649.31,1645.7,1646.3136703435553,1646.4902432580175,1646.5266341963018,1646.551149210396,False,False,DOWN,DOWN,,,,False,False,False,False
1745223300000,1646.68,1649.06,1643.76,1646.71,2217.601,2025-04-21 08:15:00+00:00,2025-04-21 05:15:00-03:00,2025-04-21,05:15:00,1646.5525,1646.514921875,1649.06,1643.76,1646.3570939174542,1646.4924667130883,1646.5271463904344,1646.5511626510886,False,False,DOWN,DOWN,,,,False,False,False,False
1745224200000,1646.71,1647.67,1645.47,1646.89,2015.205,2025-04-21 08:30:00+00:00,2025-04-21 05:30:00-03:00,2025-04-21,05:30:00,1646.6850000000002,1646.5337109375,1647.67,1645.47,1646.4167132051898,1646.4993429019066,1646.5302722044853,1646.5524943660032,False,False,DOWN,DOWN,,,,False,False,False,False
1745225100000,1646.9,1649.45,1645.2,1649.16,3348.6046,2025-04-21 08:45:00+00:00,2025-04-21 05:45:00-03:00,2025-04-21,05:45:00,1647.6775,1646.60935546875,1649.45,1645.2,1646.6459471678825,1646.541419941124,1646.5529895865745,1646.5636884519138,False,True,DOWN,UP,,,,False,False,False,False
1745226000000,1649.15,1655.0,1645.52,1646.4,8866.7434,2025-04-21 09:00:00+00:00,2025-04-21 06:00:00-03:00,2025-04-21,06:00:00,1649.0175,1647.143427734375,1655.0,1645.52,1647.0771385919038,1646.6298513717984,1646.6017917729791,1646.5881044872183,True,True,UP,UP,,,,False,False,True,False
1745226900000,1646.4,1646.75,1642.6,1643.36,3654.0029,2025-04-21 09:15:00+00:00,2025-04-21 06:15:00-03:00,2025-04-21,06:15:00,1644.7775,1648.0804638671875,1648.0804638671875,1642.6,1646.6590224842848,1646.5636959656629,1646.5656671834151,1646.5700885221715,False,True,DOWN,UP,,,,False,False,True,False
