timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_close,ha_open,ha_high,ha_low,MA1,MA2,MA3,MA4,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,Buy_TL,Sell_TL,signal_tl,whale
1745181000000,1593.52,1593.87,1589.68,1590.72,2847.0551,2025-04-20 20:30:00+00:00,2025-04-20 17:30:00-03:00,2025-04-20,17:30:00,1591.9475,1592.12,1593.87,1589.68,1591.9475,1591.9475,1591.9475,1591.9475,True,True,UP,UP,,,,False,False,-,-
1745181900000,1590.71,1592.5,1586.91,1589.88,2068.1094,2025-04-20 20:45:00+00:00,2025-04-20 17:45:00-03:00,2025-04-20,17:45:00,1590.0,1592.03375,1592.5,1586.91,1591.593409090909,1591.8779464285715,1591.9089356435643,1591.9281218905473,False,False,DOWN,DOWN,,,,False,False,-,-
1745182800000,1589.88,1590.5,1586.21,1586.5,2146.2555,2025-04-20 21:00:00+00:00,2025-04-20 18:00:00-03:00,2025-04-20,18:00:00,1588.2725,1591.016875,1591.016875,1586.21,1590.9896074380165,1591.7491804846939,1591.836927016959,1591.8917475433777,False,False,DOWN,DOWN,,,,False,False,-,-
1745183700000,1586.5,1587.41,1583.62,1586.16,2431.5765,2025-04-20 21:15:00+00:00,2025-04-20 18:15:00-03:00,2025-04-20,18:15:00,1585.9225,1589.6446875000001,1589.6446875000001,1583.62,1590.0683151765588,1591.5410847530977,1591.7198096502864,1591.8323520454337,False,False,DOWN,DOWN,,,,False,False,-,-
1745184600000,1586.17,1591.08,1586.17,1589.39,2118.5436,2025-04-20 21:30:00+00:00,2025-04-20 18:30:00-03:00,2025-04-20,18:30:00,1588.2025,1587.78359375,1591.08,1586.17,1589.7290760535482,1591.4218495833443,1591.6501599542412,1591.7962341146333,False,False,DOWN,DOWN,,,,False,False,-,-
1745185500000,1589.37,1590.43,1586.8,1589.0,1643.1457,2025-04-20 21:45:00+00:00,2025-04-20 18:45:00-03:00,2025-04-20,18:45:00,1588.9,1587.993046875,1590.43,1586.8,1589.578334952903,1591.3317835267962,1591.595701341286,1591.7674158647364,False,False,DOWN,DOWN,,,,False,False,-,-
1745186400000,1588.99,1589.2,1580.96,1583.02,3842.0634,2025-04-20 22:00:00+00:00,2025-04-20 19:00:00-03:00,2025-04-20,19:00:00,1585.5425,1588.4465234375,1589.2,1580.96,1588.844546779648,1591.1250234008394,1591.4758359681912,1591.705476403396,False,False,DOWN,DOWN,,,,False,False,-,-
1745187300000,1583.03,1583.12,1574.68,1577.4,3723.8884,2025-04-20 22:15:00+00:00,2025-04-20 19:15:00-03:00,2025-04-20,19:15:00,1579.5575,1586.99451171875,1586.99451171875,1574.68,1587.1559928197119,1590.7118975650951,1591.2398293153556,1591.5846010162977,False,False,DOWN,DOWN,,,,False,False,-,-
1745188200000,1577.39,1581.0,1576.53,1580.06,1945.0088,2025-04-20 22:30:00+00:00,2025-04-20 19:30:00-03:00,2025-04-20,19:30:00,1578.745,1583.276005859375,1583.276005859375,1576.53,1585.6267213979459,1590.2845083663417,1590.992406952675,1591.456843792255,False,False,DOWN,DOWN,,,,False,False,-,BOTTOM
1745189100000,1580.06,1582.17,1579.33,1582.16,1334.0334,2025-04-20 22:45:00+00:00,2025-04-20 19:45:00-03:00,2025-04-20,19:45:00,1580.9299999999998,1581.0105029296874,1582.17,1579.33,1584.7727720528646,1589.9504187818295,1590.7931513694539,1591.3520990779045,False,False,DOWN,DOWN,,,,False,False,-,-
1745190000000,1582.16,1586.7,1582.16,1586.0,2569.4197,2025-04-20 23:00:00+00:00,2025-04-20 20:00:00-03:00,2025-04-20,20:00:00,1584.255,1580.9702514648436,1586.7,1580.9702514648436,1584.6786316796163,1589.7470109681929,1590.6636830255043,1591.2814811766318,False,False,DOWN,DOWN,,,,False,False,-,-
1745190900000,1585.99,1587.96,1584.0,1584.08,2408.1417,2025-04-20 23:15:00+00:00,2025-04-20 20:15:00-03:00,2025-04-20,20:15:00,1585.5075,1582.6126257324217,1587.96,1582.6126257324217,1584.829335010595,1589.5955998621862,1590.5615803913358,1591.2240286276108,False,False,DOWN,DOWN,,,,False,False,-,-
1745191800000,1584.07,1585.7,1582.87,1584.73,1528.5365,2025-04-20 23:30:00+00:00,2025-04-20 20:30:00-03:00,2025-04-20,20:30:00,1584.3424999999997,1584.060062866211,1585.7,1582.87,1584.740819554123,1589.4079891528224,1590.4384302845765,1591.155555705943,False,False,DOWN,DOWN,,,,False,False,-,-
1745192700000,1584.73,1587.77,1584.4,1587.36,1383.9432,2025-04-20 23:45:00+00:00,2025-04-20 20:45:00-03:00,2025-04-20,20:45:00,1586.0649999999998,1584.2012814331054,1587.77,1584.2012814331054,1584.9815796351913,1589.2885966830786,1590.3518277046837,1591.1049034103617,False,False,DOWN,DOWN,,14.568409107028353,37.49202071068804,False,False,-,-
1745193600000,1587.36,1594.37,1586.18,1593.12,4122.9371,2025-04-21 00:00:00+00:00,2025-04-20 21:00:00-03:00,2025-04-20,21:00:00,1590.2575,1585.1331407165526,1594.37,1585.1331407165526,1585.9408378833382,1589.3232003729686,1590.3499598293433,1591.0964715356317,False,False,DOWN,DOWN,,22.610910065674076,35.42420587052602,False,False,-,-
1745194500000,1593.16,1614.3,1593.16,1609.59,15111.9774,2025-04-21 00:15:00+00:00,2025-04-20 21:15:00-03:00,2025-04-20,21:15:00,1602.5525,1587.6953203582761,1614.3,1587.6953203582761,1588.9611400863675,1589.7956753596482,1590.5915942881682,1591.2104618686105,False,False,DOWN,DOWN,,39.543317662860204,25.42377434519765,False,False,-,TOP
1745195400000,1609.6,1620.37,1606.8,1614.33,16211.4493,2025-04-21 00:30:00+00:00,2025-04-20 21:30:00-03:00,2025-04-20,21:30:00,1612.7749999999999,1595.123910179138,1620.37,1595.123910179138,1593.290932797937,1590.616365525375,1591.0308696487984,1591.4250343873307,False,True,DOWN,UP,,34.52481471057263,34.337179848015126,False,False,-,TOP
1745196300000,1614.33,1620.49,1608.8,1610.09,8722.7091,2025-04-21 00:45:00+00:00,2025-04-20 21:45:00-03:00,2025-04-20,21:45:00,1613.4275,1603.9494550895688,1620.49,1603.9494550895688,1596.9521268346757,1591.4310488994688,1591.4743672795153,1591.643964393427,False,True,DOWN,UP,,32.38652614903911,31.691271919209026,False,False,-,-
1745197200000,1610.1,1618.69,1608.01,1611.53,7281.5497,2025-04-21 01:00:00+00:00,2025-04-20 22:00:00-03:00,2025-04-20,22:00:00,1612.0825,1608.6884775447843,1618.69,1608.01,1599.7031037738254,1592.1686007244878,1591.8824491155644,1591.8473329069254,True,True,UP,UP,,27.80528745279027,30.885438522869656,False,False,-,-
1745198100000,1611.52,1615.0,1609.3,1614.71,5177.2712,2025-04-21 01:15:00+00:00,2025-04-20 22:15:00-03:00,2025-04-20,22:15:00,1612.6325,1610.3854887723921,1615.0,1609.3,1602.0539030876753,1592.8994542700418,1592.293341212286,1592.0541504899413,True,True,UP,UP,,27.330473519220945,30.902491338062447,False,False,-,-
