timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_close,ha_open,ha_high,ha_low,MA1,MA2,MA3,MA4,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,Buy_TL,Sell_TL,whale
1745219700000,1646.0,1646.99,1641.5,1643.7,3856.3753,2025-04-21 07:15:00+00:00,2025-04-21 04:15:00-03:00,2025-04-21,04:15:00,1644.5475,1644.85,1646.99,1641.5,1644.5475,1644.5475,1644.5475,1644.5475,True,True,UP,UP,,,,False,False,-
1745220600000,1643.7,1648.0,1642.81,1647.11,4645.9982,2025-04-21 07:30:00+00:00,2025-04-21 04:30:00-03:00,2025-04-21,04:30:00,1645.405,1644.69875,1648.0,1642.81,1644.703409090909,1644.5781249999998,1644.5644801980195,1644.5560323383083,True,True,UP,UP,,,,False,False,-
1745221500000,1647.12,1648.96,1644.9,1645.92,2903.6864,2025-04-21 07:45:00+00:00,2025-04-21 04:45:00-03:00,2025-04-21,04:45:00,1646.725,1645.051875,1648.96,1644.9,1645.07097107438,1644.6547991071427,1644.607262768356,1644.5776141060865,True,True,UP,UP,,,,False,False,-
1745222400000,1645.92,1649.31,1645.7,1646.68,2699.6122,2025-04-21 08:00:00+00:00,2025-04-21 05:00:00-03:00,2025-04-21,05:00:00,1646.9025000000001,1645.8884375,1649.31,1645.7,1645.4039763335836,1644.7350741390305,1644.6527130105667,1644.600747299061,True,True,UP,UP,,,,False,False,-
1745223300000,1646.68,1649.06,1643.76,1646.71,2217.601,2025-04-21 08:15:00+00:00,2025-04-21 05:15:00-03:00,2025-04-21,05:15:00,1646.5525,1646.39546875,1649.06,1643.76,1645.6127988183864,1644.7999822054937,1644.690332554912,1644.620167723946,True,True,UP,UP,,,,False,False,-
1745224200000,1646.71,1647.67,1645.47,1646.89,2015.205,2025-04-21 08:30:00+00:00,2025-04-21 05:30:00-03:00,2025-04-21,05:30:00,1646.6850000000002,1646.4739843749999,1647.67,1645.47,1645.8077444877706,1644.8673042695834,1644.7298309201612,1644.6407133187327,True,True,UP,UP,,,,False,False,-
1745225100000,1646.9,1649.45,1645.2,1649.16,3348.6046,2025-04-21 08:45:00+00:00,2025-04-21 05:45:00-03:00,2025-04-21,05:45:00,1647.6775,1646.5794921875,1649.45,1645.2,1646.1477000354487,1644.9676684028125,1644.7882006049106,1644.670930101631,True,True,UP,UP,,,,False,False,-
1745226000000,1649.15,1655.0,1645.52,1646.4,8866.7434,2025-04-21 09:00:00+00:00,2025-04-21 06:00:00-03:00,2025-04-21,06:00:00,1649.0175,1647.12849609375,1655.0,1645.52,1646.6694818471851,1645.1123052455694,1644.8719491077836,1644.7141795533562,True,True,UP,UP,,,,False,False,TOP
1745226900000,1646.4,1646.75,1642.6,1643.36,3654.0029,2025-04-21 09:15:00+00:00,2025-04-21 06:15:00-03:00,2025-04-21,06:15:00,1644.7775,1648.072998046875,1648.072998046875,1642.6,1646.3254851476968,1645.1003479153705,1644.8700788284216,1644.7148096075518,True,True,UP,UP,,,,False,False,TOP
1745227800000,1643.35,1644.75,1639.47,1641.96,4815.224,2025-04-21 09:30:00+00:00,2025-04-21 06:30:00-03:00,2025-04-21,06:30:00,1642.3825,1646.4252490234376,1646.4252490234376,1639.47,1645.6085787572063,1645.0032819183932,1644.8208198417203,1644.6916025467801,True,True,UP,UP,,,,False,False,-
1745228700000,1641.97,1644.0,1641.53,1642.58,2372.1684,2025-04-21 09:45:00+00:00,2025-04-21 06:45:00-03:00,2025-04-21,06:45:00,1642.52,1644.4038745117186,1644.4038745117186,1641.53,1645.0470189831685,1644.9145932784506,1644.7752590527753,1644.6699945612402,True,True,UP,UP,,,,False,False,-
1745229600000,1642.58,1643.42,1637.75,1639.39,3827.1761,2025-04-21 10:00:00+00:00,2025-04-21 07:00:00-03:00,2025-04-21,07:00:00,1640.785,1643.4619372558593,1643.4619372558593,1637.75,1644.2721064407742,1644.7671078042204,1644.6962440220273,1644.6313378989394,True,False,UP,DOWN,,,,False,False,-
1745230500000,1639.39,1640.6,1631.4,1632.75,12172.2418,2025-04-21 10:15:00+00:00,2025-04-21 07:15:00-03:00,2025-04-21,07:15:00,1636.0349999999999,1642.1234686279297,1642.1234686279297,1631.4,1642.7744507242699,1644.4552468112124,1644.5247342394127,1644.5458021984525,False,False,DOWN,DOWN,,,,False,False,-
1745231400000,1632.75,1633.22,1628.29,1631.84,7657.1419,2025-04-21 10:30:00+00:00,2025-04-21 07:30:00-03:00,2025-04-21,07:30:00,1631.525,1639.0792343139647,1639.0792343139647,1628.29,1640.7290960471298,1643.9934522822405,1644.2673137594243,1644.4162419775726,False,False,DOWN,DOWN,,9.572314724126601,38.1325497877899,False,False,BOTTOM
1745232300000,1631.83,1636.0,1630.86,1635.7,2904.8123,2025-04-21 10:45:00+00:00,2025-04-21 07:45:00-03:00,2025-04-21,07:45:00,1633.5974999999999,1635.3021171569824,1636.0,1630.86,1639.432442220379,1643.6221682721605,1644.0560303186435,1644.3085928036664,False,False,DOWN,DOWN,,13.263365037717168,38.30764184978692,False,False,BOTTOM
1745233200000,1635.7,1636.17,1630.1,1630.24,3770.8989,2025-04-21 11:00:00+00:00,2025-04-21 08:00:00-03:00,2025-04-21,08:00:00,1633.0524999999998,1634.4498085784912,1636.17,1630.1,1638.2724527257644,1643.2446801195833,1643.8381386291653,1644.1965918802468,False,False,DOWN,DOWN,,13.111990143310937,37.15712340315166,False,False,-
