timestamp,open,high,low,close,volume,time_utc,time,date,hour,ha_open,ha_close,ha_high,ha_low,sz,sz_prev,adx,adx_prev,is_pl_sz,is_ph_sz,is_ph_adx,rsi,rsi_ok,Buy_TL,Sell_TL,signal_tl
1747528200000,2477.39,2486.0,2471.98,2482.78,4290.4412,2025-05-18 00:30:00+00:00,2025-05-17 21:30:00-03:00,2025-05-17,21:30:00,2477.39,2479.5375,2486.0,2471.98,,,,,,,,,,,,-
1747530000000,2482.78,2484.18,2475.21,2476.17,3361.9817,2025-05-18 01:00:00+00:00,2025-05-17 22:00:00-03:00,2025-05-17,22:00:00,2478.46375,2479.585,2484.18,2475.21,,,,,,,,,,,,-
1747531800000,2476.17,2487.19,2472.93,2485.11,3392.0835,2025-05-18 01:30:00+00:00,2025-05-17 22:30:00-03:00,2025-05-17,22:30:00,2479.024375,2480.3500000000004,2487.19,2472.93,,,,,,,,,,,,-
1747533600000,2485.11,2487.44,2481.15,2483.91,3622.7921,2025-05-18 02:00:00+00:00,2025-05-17 23:00:00-03:00,2025-05-17,23:00:00,2479.6871875,2484.4025,2487.44,2479.6871875,,,,,,,,,,,,-
1747535400000,2483.91,2485.61,2476.1,2481.2,3612.7511,2025-05-18 02:30:00+00:00,2025-05-17 23:30:00-03:00,2025-05-17,23:30:00,2482.04484375,2481.705,2485.61,2476.1,,,,,,,,,,,,-
1747537200000,2481.19,2486.87,2467.75,2468.77,7096.0584,2025-05-18 03:00:00+00:00,2025-05-18 00:00:00-03:00,2025-05-18,00:00:00,2481.874921875,2476.145,2486.87,2467.75,,,,,,,,,,,,-
1747539000000,2468.78,2481.8,2468.4,2477.2,4386.1204,2025-05-18 03:30:00+00:00,2025-05-18 00:30:00-03:00,2025-05-18,00:30:00,2479.0099609375,2474.045,2481.8,2468.4,,,,,,,,,,,,-
1747540800000,2477.2,2484.18,2477.2,2481.89,2452.4704,2025-05-18 04:00:00+00:00,2025-05-18 01:00:00-03:00,2025-05-18,01:00:00,2476.52748046875,2480.1175,2484.18,2476.52748046875,,,,,,,,,,,,-
1747542600000,2481.89,2489.2,2481.08,2485.91,2966.5555,2025-05-18 04:30:00+00:00,2025-05-18 01:30:00-03:00,2025-05-18,01:30:00,2478.322490234375,2484.52,2489.2,2478.322490234375,,,,,,,,,,,,-
1747544400000,2485.91,2507.01,2485.71,2502.51,9176.861,2025-05-18 05:00:00+00:00,2025-05-18 02:00:00-03:00,2025-05-18,02:00:00,2481.4212451171875,2495.285,2507.01,2481.4212451171875,,,,,,,,,,,,-
1747546200000,2502.51,2515.44,2496.3,2512.6,9236.765,2025-05-18 05:30:00+00:00,2025-05-18 02:30:00-03:00,2025-05-18,02:30:00,2488.353122558594,2506.7125,2515.44,2488.353122558594,,,,,,,,,,,,-
1747548000000,2512.6,2513.9,2501.5,2504.87,5995.3064,2025-05-18 06:00:00+00:00,2025-05-18 03:00:00-03:00,2025-05-18,03:00:00,2497.5328112792968,2508.2174999999997,2513.9,2497.5328112792968,,,,,,,,,,,,-
