timestamp,open,high,low,close,volume,time_utc,time,date,hour,MA1,MA2,MA3,MA4,macroTrend,microTrend,macroTrendLabel,microTrendLabel,ADX,+DI,-DI,Buy_TL,Sell_TL,whale
1745219700000,1646.0,1646.99,1641.5,1643.7,3856.3753,2025-04-21 07:15:00+00:00,2025-04-21 04:15:00-03:00,2025-04-21,04:15:00,1643.7,1643.7,1643.7,1643.7,True,True,UP,UP,,,,False,False,-
1745220600000,1643.7,1648.0,1642.81,1647.11,4645.9982,2025-04-21 07:30:00+00:00,2025-04-21 04:30:00-03:00,2025-04-21,04:30:00,1644.32,1643.8217857142859,1643.7675247524753,1643.7339303482588,True,True,UP,UP,,,,False,False,-
1745221500000,1647.12,1648.96,1644.9,1645.92,2903.6864,2025-04-21 07:45:00+00:00,2025-04-21 04:45:00-03:00,2025-04-21,04:45:00,1644.610909090909,1643.8967219387757,1643.8101480247035,1643.755682285092,True,True,UP,UP,,,,False,False,-
1745222400000,1645.92,1649.31,1645.7,1646.68,2699.6122,2025-04-21 08:00:00+00:00,2025-04-21 05:00:00-03:00,2025-04-21,05:00:00,1644.9871074380164,1643.9961247266765,1643.8669767766896,1643.7847799737976,True,True,UP,UP,,,,False,False,-
1745223300000,1646.68,1649.06,1643.76,1646.71,2217.601,2025-04-21 08:15:00+00:00,2025-04-21 05:15:00-03:00,2025-04-21,05:15:00,1645.3003606311042,1644.093048843581,1643.9232742662603,1643.8138866407253,True,True,UP,UP,,,,False,False,-
1745224200000,1646.71,1647.67,1645.47,1646.89,2015.205,2025-04-21 08:30:00+00:00,2025-04-21 05:30:00-03:00,2025-04-21,05:30:00,1645.5893859709033,1644.1929399563105,1643.9820213104927,1643.8444947338523,True,True,UP,UP,,,,False,False,-
1745225100000,1646.9,1649.45,1645.2,1649.16,3348.6046,2025-04-21 08:45:00+00:00,2025-04-21 05:45:00-03:00,2025-04-21,05:45:00,1646.2385885216481,1644.370334957871,1644.084555541968,1643.8973853335156,True,True,UP,UP,,,,False,False,-
1745226000000,1649.15,1655.0,1645.52,1646.4,8866.7434,2025-04-21 09:00:00+00:00,2025-04-21 06:00:00-03:00,2025-04-21,06:00:00,1646.2679360631664,1644.4428229950897,1644.1304059272757,1643.9222869719881,True,True,UP,UP,,,,False,False,TOP
1745226900000,1646.4,1646.75,1642.6,1643.36,3654.0029,2025-04-21 09:15:00+00:00,2025-04-21 06:15:00-03:00,2025-04-21,06:15:00,1645.7392204153177,1644.404150745265,1644.1151503643591,1643.9166920767445,True,True,UP,UP,,,,False,False,-
1745227800000,1643.35,1644.75,1639.47,1641.96,4815.224,2025-04-21 09:30:00+00:00,2025-04-21 06:30:00-03:00,2025-04-21,06:30:00,1645.0520894307144,1644.3168596472199,1644.0724741195202,1643.8972225038417,True,True,UP,UP,,,,False,False,BOTTOM
1745228700000,1641.97,1644.0,1641.53,1642.58,2372.1684,2025-04-21 09:45:00+00:00,2025-04-21 06:45:00-03:00,2025-04-21,06:45:00,1644.6026186251297,1644.2548289455335,1644.0429201765592,1643.8841158122611,True,True,UP,UP,,,,False,False,-
1745229600000,1642.58,1643.42,1637.75,1639.39,3827.1761,2025-04-21 10:00:00+00:00,2025-04-21 07:00:00-03:00,2025-04-21,07:00:00,1643.6548697841968,1644.0810850546216,1643.9507831433598,1643.83939824199,True,False,UP,DOWN,,,,False,False,-
1745230500000,1639.39,1640.6,1631.4,1632.75,12172.2418,2025-04-21 10:15:00+00:00,2025-04-21 07:15:00-03:00,2025-04-21,07:15:00,1641.6721661870702,1643.676403445528,1643.7289854573528,1643.7290559709256,False,False,DOWN,DOWN,,,,False,False,-
